PLATFORM_NUMBER,CYCLE_NUMBER,PLATFORM_TYPE,DIRECTION,time,latitude,longitude,PRES,PRES_QC,TEMP,TEMP_QC,PSAL,PSAL_QC
,,,,UTC,degrees_north,degrees_east,decibar,,degree_Celsius,,PSU,
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,862.4,1,7.563,1,34.957,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,887.3,1,7.47,1,34.957,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,912.4,1,7.293,1,34.946,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,937.5,1,6.958,1,34.912,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,962.6,1,6.516,1,34.855,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,987.9,1,6.299,1,34.836,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1024.7,1,6.176,1,34.84,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1075.0,1,6.063,1,34.857,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1124.8,1,5.773,1,34.839,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1174.9,1,5.608,1,34.843,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1224.8,1,5.306,1,34.821,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1275.7,1,5.042,1,34.804,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1324.6,1,4.865,1,34.806,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1374.8,1,4.732,1,34.812,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1425.8,1,4.488,1,34.801,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1474.8,1,4.359,1,34.801,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1525.0,1,4.246,1,34.805,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1575.2,1,3.96,1,34.787,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1625.2,1,3.752,1,34.794,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1675.1,1,3.573,1,34.792,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1725.4,1,3.38,1,34.788,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1774.6,1,3.251,1,34.789,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1824.9,1,3.13,1,34.786,1
2903951,10,PROVOR_III,A,2025-04-01T13:29:00Z,-3.0807516666666666,77.83276333333333,1874.6,1,3.0,1,34.782,1
